,transit_mode,line,subline,station_name,station_url,address,latitude,longitude
220,subway,Green,Stations,Fairbanks Street,/stops/place-fbkst,"Beacon St and Fairbanks Ave, Brookline, MA",42.339725,-71.131073
221,subway,Green,Stations,Fenway,/stops/place-fenwy,"411 Park Dr, Boston, MA 02215",42.345403,-71.104213
222,subway,Green,Stations,Fenwood Road,/stops/place-fenwd,"Huntington Ave and Fenwood Rd, Boston, MA",42.333706,-71.105728
223,subway,Green,Stations,Gilman Square,/stops/place-gilmn,"161 School St, Somerville, MA 02143",42.387928,-71.096766
224,subway,Green,Stations,Government Center,/stops/place-gover,"Cambridge St and Court St, Boston, MA",42.359705,-71.059215
225,subway,Green,Stations,Griggs Street,/stops/place-grigg,"Commonwealth Ave and Griggs St, Boston, MA",42.348545,-71.134949
226,subway,Green,Stations,Harvard Avenue,/stops/place-harvd,"Commonwealth Ave and Harvard Ave, Boston, MA",42.350243,-71.131355
227,subway,Green,Stations,Hawes Street,/stops/place-hwsst,"Beacon St and Hawes St, Brookline, MA",42.344906,-71.111145
228,subway,Green,Stations,Haymarket,/stops/place-haecl,"136 Blackstone St, Boston, MA 02109",42.363021,-71.05829
229,subway,Green,Stations,Heath Street,/stops/place-hsmnl,"Heath St and South Huntington Ave, Boston, MA",42.328316,-71.110252
230,subway,Green,Stations,Hynes Convention Center,/stops/place-hymnl,"100 Massachusetts Ave, Boston, MA",42.347888,-71.087903
231,subway,Green,Stations,Kenmore,/stops/place-kencl,"Commonwealth Ave and Kenmore St, Boston, MA 02215",42.348949,-71.095169
232,subway,Green,Stations,Kent Street,/stops/place-kntst,"Beacon St and Powell St, Brookline, MA",42.344074,-71.114197
233,subway,Green,Stations,Lechmere,/stops/place-lech,"3 North First St, Cambridge, MA 02141",42.371572,-71.076584
234,subway,Green,Stations,Longwood,/stops/place-longw,"30 Chapel St, Brookline, MA 02446",42.341702,-71.109956
235,subway,Green,Stations,Longwood Medical Area,/stops/place-lngmd,"Huntington Ave and Longwood Ave, Boston, MA 02115",42.33596,-71.100052
236,subway,Green,Stations,Magoun Square,/stops/place-mgngl,"270 Lowell St, Somerville, MA 02145",42.393682,-71.106388
237,subway,Green,Stations,Medford/Tufts,/stops/place-mdftf,"460 Boston Ave, Medford, MA 02155",42.407975,-71.117044
238,subway,Green,Stations,Mission Park,/stops/place-mispk,"Huntington Ave and Mission Park Dr, Boston, MA 02115",42.333195,-71.109756
239,subway,Green,Stations,Museum of Fine Arts,/stops/place-mfa,"Huntington Ave and Ruggles St, Boston, MA",42.337711,-71.095512
240,subway,Green,Stations,Newton Centre,/stops/place-newto,"72 Union St, Newton, MA 02459",42.329443,-71.192414
241,subway,Green,Stations,Newton Highlands,/stops/place-newtn,"60 Station Ave, Newton, MA 02461",42.322381,-71.205509
242,subway,Green,Stations,North Station,/stops/place-north,"135 Causeway St, Boston, MA 02114",42.365577,-71.06129
243,subway,Green,Stations,Northeastern University,/stops/place-nuniv,"Huntington Ave and Opera Pl, Boston, MA 02115",42.340401,-71.088806
244,subway,Green,Stations,Packard's Corner,/stops/place-brico,"Commonwealth Ave and Brighton Ave, Boston, MA 02215",42.351967,-71.125031
245,subway,Green,Stations,Park Street,/stops/place-pktrm,"Tremont St and Winter St, Boston, MA 02108",42.356395,-71.062424
246,subway,Green,Stations,Prudential,/stops/place-prmnl,"Huntington Ave and Belvidere St, Boston, MA 02199",42.34557,-71.081696
247,subway,Green,Stations,Reservoir,/stops/place-rsmnl,"401 Chestnut Hill Ave, Brookline, MA 02445",42.335088,-71.148758
248,subway,Green,Stations,Riverside,/stops/place-river,"367 Grove St, Newton, MA 02466",42.337352,-71.252685
249,subway,Green,Stations,Riverway,/stops/place-rvrwy,"South Huntington Ave and Huntington Ave, Boston, MA",42.331684,-71.111931
250,subway,Green,Stations,Saint Mary's Street,/stops/place-smary,"Beacon St and Saint Mary's St, Boston, MA",42.345974,-71.107353
251,subway,Green,Stations,Saint Paul Street,/stops/place-stpul,"Beacon St and Saint Paul St, Brookline, MA 02446",42.343327,-71.116997
252,subway,Green,Stations,Science Park/West End,/stops/place-spmnl,"Leverett Circle and Nashua St, Boston, MA 02114",42.366664,-71.067666
253,subway,Green,Stations,South Street,/stops/place-sougr,"South Street, Boston",42.3396,-71.157661
254,subway,Green,Stations,Summit Avenue,/stops/place-sumav,"Beacon St and Summit Ave, Brookline, MA",42.34111,-71.12561
255,subway,Green,Stations,Sutherland Road,/stops/place-sthld,"Commonwealth Ave and Sutherland Rd, Boston, MA",42.341614,-71.146202
256,subway,Green,Stations,Symphony,/stops/place-symcl,"Massachusetts Ave and Huntington Ave, Boston, MA",42.342687,-71.085056
257,subway,Green,Stations,Tappan Street,/stops/place-tapst,"Beacon St and Tappan St, Brookline, MA",42.338459,-71.138702
258,subway,Green,Stations,Union Square,/stops/place-unsqu,"50 Prospect St, Somerville, MA 02143",42.377359,-71.094761
259,subway,Green,Stations,Waban,/stops/place-waban,"Beacon St and Waban Sq, Newton, MA 02468",42.325845,-71.230609
260,subway,Green,Stations,Warren Street,/stops/place-wrnst,"Commonwealth Ave and Warren St, Boston, MA",42.348343,-71.140457
261,subway,Green,Stations,Washington Square,/stops/place-bcnwa,"Beacon St and Washington St, Brookline, MA",42.339394,-71.13533
262,subway,Green,Stations,Washington Street,/stops/place-wascm,"Commonwealth Ave and Washington St, Boston, MA",42.343864,-71.142853
263,subway,Green,Stations,Woodland,/stops/place-woodl,"1940 Washington St, Newton, MA 02466",42.332902,-71.243362
